date,asset,long_weight,short_weight,total_weight,net_long_score,strategy_count,active_strategies,ensemble_confidence,consensus_score,breadth_score,confidence_label
2024-09-29,BTC-USD,0.30128537972891434,0.0,0.30128537972891434,0.30128537972891434,2,"['leader_persistence_72_3', 'leader_persistence_72_8']",0.82,1.0,0.4,moderate_ensemble_signal
2024-09-30,SOL-USD,0.620076015443762,0.0,0.620076015443762,0.620076015443762,6,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-30,BTC-USD,0.30128537972891434,0.0,0.30128537972891434,0.30128537972891434,2,"['leader_persistence_72_3', 'leader_persistence_72_8']",0.82,1.0,0.4,moderate_ensemble_signal
2024-10-01,SOL-USD,0.620076015443762,0.0,0.620076015443762,0.620076015443762,6,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-10-01,BTC-USD,0.30128537972891434,0.0,0.30128537972891434,0.30128537972891434,2,"['leader_persistence_72_3', 'leader_persistence_72_8']",0.82,1.0,0.4,moderate_ensemble_signal
2024-10-02,BTC-USD,0.5219392708886124,0.0,0.5219392708886124,0.5219392708886124,4,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'leader_persistence_72_3', 'leader_persistence_72_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-10-02,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-10-03,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-10-03,BTC-USD,0.30128537972891434,0.0,0.30128537972891434,0.30128537972891434,2,"['leader_persistence_72_3', 'leader_persistence_72_8']",0.82,1.0,0.4,moderate_ensemble_signal
2024-10-04,BTC-USD,0.5219392708886124,0.0,0.5219392708886124,0.5219392708886124,4,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'leader_persistence_72_3', 'leader_persistence_72_8']",0.94,1.0,0.8,strong_ensemble_signal
